Date,Set,Set ID,Sample,Rep (ID),Peak (rt),Peak (area),Peak (height),Comments,Peak round (rt) ,Gas Estimate,nmoles/area,nmoles,volume,time (hr),total ARA (nmoles/mL/hr),nmoles/mL
4/6/15,Old Sample-6 hr,OS,b4,3,1.441,6730982,141934,,1.44,Acetylene,0.000193134,1299.98,2.43,6,526.49,0
4/1/15,Old Sample-6 hr,OS,c1,1,1.364,978783,62752,,1.36,Acetylene,0.000193134,189.04,2.43,6,76.56,0
4/6/15,Old Sample-6 hr,OS,c1,2,1.057,26743,2983,,1.06,Acetylene,0.000193134,5.16,2.43,6,2.09,0
4/14/15,Old Sample-late,OS,c1,3,1.38,10561372,332310,,1.38,Acetylene,0.00055042,5813.19,2.43,316,44.7,0
4/1/15,Old Sample-6 hr,OS,d1,1,1.354,6389511,412567,,1.35,Acetylene,0.000193134,1234.03,2.43,6,499.78,0
4/6/15,Old Sample-6 hr,OS,d1,2,1.36,2060165,81345,,1.36,Acetylene,0.000193134,397.89,2.43,6,161.14,0
4/14/15,Old Sample-late,OS,d1,3,1.344,9448812,609807,,1.34,Acetylene,0.00055042,5200.81,2.43,316,39.99,0
4/1/15,Old Sample-6 hr,OS,d1,4,0.857,450362,23879,,0.86,Ethylene,0.000193134,86.98,2.43,6,35.23,211.36
4/1/15,Old Sample-6 hr,OS,d1,5,0.824,331,74,,0.82,Ethylene,0.000193134,0.06,2.43,6,0.03,0.16
4/1/15,Old Sample-6 hr,OS,e2,1,1.407,13061555,311680,,1.41,Acetylene,0.000193134,2522.63,2.43,6,1021.66,0
4/1/15,Old Sample-6 hr,OS,e2,2,1.357,12810296,552570,,1.36,Acetylene,0.000193134,2474.1,2.43,6,1002.01,0
4/6/15,Old Sample-6 hr,OS,e2,3,1.378,2117860,90641,,1.38,Acetylene,0.000193134,409.03,2.43,6,165.66,0
4/6/15,Old Sample-6 hr,OS,e2,4,1.393,639185,19835,,1.39,Acetylene,0.000193134,123.45,2.43,6,50,0
4/14/15,Old Sample-late,OS,e2,5,1.34,10033856,292328,machine error (adjusted to appropriate time),1.34,Acetylene,0.00055042,5522.83,2.43,316,42.47,0
4/6/15,Old Sample-6 hr,OS,e2,5,0.831,974,183,,0.83,Ethylene,0.000193134,0.19,2.43,6,0.08,0.46
4/1/15,Old Sample-6 hr,OS,ec,1,1.37,7124790,247999,,1.37,Acetylene,0.000193134,1376.04,2.43,6,557.3,0
4/6/15,Old Sample-6 hr,OS,ec,2,1.386,4105821,126025,,1.39,Acetylene,0.000193134,792.97,2.43,6,321.15,0
4/6/15,Old Sample-6 hr,OS,ec,3,1.39,458999,16414,,1.39,Acetylene,0.000193134,88.65,2.43,6,35.9,0
4/14/15,Old Sample-late,OS,ec,4,1.34,8610936,287373,machine error (adjusted to appropriate time),1.34,Acetylene,0.00055042,4739.63,2.43,316,36.45,0
4/1/15,Old Sample-6 hr,OS,eth,1,0.818,61467,5269,,0.82,Ethylene,0.000193134,11.87,2.43,6,4.81,28.85
4/6/15,Old Sample-6 hr,OS,eth,2,0.828,40017,4659,,0.83,Ethylene,0.000193134,7.73,2.43,6,3.13,18.78
4/14/15,Old Sample-late,OS,eth,3,0.816,16212,1986,,0.82,Ethylene,0.00055042,8.92,2.43,316,0.07,21.68
4/14/15,Old Sample-late,OS,eth,4,0.82,24400,2464,machine error (adjusted to appropriate time),0.82,Ethylene,0.00055042,13.43,2.43,316,0.1,32.64
4/14/15,Old Sample-late,OS,eth,5,0.82,3352,498,,0.82,Ethylene,0.00055042,1.85,2.43,316,0.01,4.48
4/14/15,Old Sample-late,OS,eth,6,0.821,22591,2978,,0.82,Ethylene,0.00055042,12.43,2.43,316,0.1,30.22
4/14/15,Old Sample-late,OS,eth,7,0.829,22468,1918,,0.83,Ethylene,0.00055042,12.37,2.43,316,0.1,30.05
4/1/15,Old Sample-6 hr,OS,neg,1,1.368,13511894,438137,,1.37,Acetylene,0.000193134,2609.6,2.43,6,1056.89,0
4/1/15,Old Sample-6 hr,OS,neg,2,1.394,9654371,267478,,1.39,Acetylene,0.000193134,1864.59,2.43,6,755.16,0
4/14/15,Old Sample-late,OS,neg,3,1.339,13564646,855854,,1.34,Acetylene,0.00055042,7466.25,2.43,316,57.41,0
4/14/15,Old Sample-late,OS,neg,4,0.811,377,65,,0.81,Ethylene,0.00055042,0.21,2.43,316,0,0.5
